Pancake Live Sales Monitor v1.6.2 — Scenic + WORLD TRAVEL Video Sources

Playlist behavior:
- 200 unique Pexels videos total
- Original scenic set: 100 videos
- WORLD TRAVEL expansion: 100 videos
- Each clip plays to its natural end before switching
- Fisher-Yates shuffle; no repeat until the current 200-video cycle is exhausted
- Two video layers: current clip + one preloaded next clip only
- Crossfade between clips; no artificial CSS zoom
- Remote source is streamed from Pexels; videos are not redistributed inside this ZIP

License reference: https://www.pexels.com/license/

ID | CATEGORY | NAME | STREAM
2248630 | MORNING | RIVER SUNRISE | https://www.pexels.com/download/video/2248630/
10343783 | MORNING | OCEAN DAWN | https://www.pexels.com/download/video/10343783/
35190889 | MORNING | ALPINE MORNING | https://www.pexels.com/download/video/35190889/
4287971 | MORNING | SEA OF CLOUDS | https://www.pexels.com/download/video/4287971/
33657476 | MORNING | RIVER MORNING | https://www.pexels.com/download/video/33657476/
19219428 | MORNING | FOGGY RIVER SUNRISE | https://www.pexels.com/download/video/19219428/
11349556 | MORNING | MISTY FOREST DAWN | https://www.pexels.com/download/video/11349556/
31996806 | MORNING | MOUNTAIN SUNRISE | https://www.pexels.com/download/video/31996806/
5456664 | MORNING | MISTY MORNING FOREST | https://www.pexels.com/download/video/5456664/
5587008 | MORNING | MORNING WOODS | https://www.pexels.com/download/video/5587008/
27100099 | MORNING | SUN THROUGH TREES | https://www.pexels.com/download/video/27100099/
27797068 | MORNING | FOREST SUN RAYS | https://www.pexels.com/download/video/27797068/
6056826 | MORNING | GOLDEN FOREST | https://www.pexels.com/download/video/6056826/
35451208 | MORNING | MORNING PARK | https://www.pexels.com/download/video/35451208/
19190654 | MORNING | FOREST SUNLIGHT | https://www.pexels.com/download/video/19190654/
5692317 | MORNING | DAYBREAK FOREST | https://www.pexels.com/download/video/5692317/
2882624 | MORNING | PINE SUN RAYS | https://www.pexels.com/download/video/2882624/
10663886 | MORNING | DEEP FOREST SUNRISE | https://www.pexels.com/download/video/10663886/
5847998 | MORNING | DAWN IN THE PINES | https://www.pexels.com/download/video/5847998/
34461969 | MORNING | EARLY FOREST LIGHT | https://www.pexels.com/download/video/34461969/
28551448 | MORNING | SUNRISE ABOVE FOG | https://www.pexels.com/download/video/28551448/
5361429 | MORNING | MOUNTAIN DAWN | https://www.pexels.com/download/video/5361429/
34418479 | MORNING | RICE FIELD SUNRISE | https://www.pexels.com/download/video/34418479/
12742745 | MORNING | MISTY MOUNTAIN SUNRISE | https://www.pexels.com/download/video/12742745/
6989287 | MORNING | SUNRISE SEA OF CLOUDS | https://www.pexels.com/download/video/6989287/
29138481 | NATURE | SERENE RIVER DRONE | https://www.pexels.com/download/video/29138481/
31149903 | NATURE | GREEN RIVER LANDSCAPE | https://www.pexels.com/download/video/31149903/
30272404 | NATURE | SCENIC RIVER | https://www.pexels.com/download/video/30272404/
35217740 | NATURE | WIDE RIVER VIEW | https://www.pexels.com/download/video/35217740/
33026654 | NATURE | RIVER & MOUNTAINS | https://www.pexels.com/download/video/33026654/
13978913 | NATURE | MOUNTAIN RIVER | https://www.pexels.com/download/video/13978913/
29067768 | NATURE | FOREST RIVER | https://www.pexels.com/download/video/29067768/
4318717 | NATURE | CASCADING RIVER | https://www.pexels.com/download/video/4318717/
3859467 | NATURE | LUSH RIVER | https://www.pexels.com/download/video/3859467/
35483911 | NATURE | VERDANT RIVER | https://www.pexels.com/download/video/35483911/
35701154 | SEA | TROPICAL BEACH | https://www.pexels.com/download/video/35701154/
20600550 | NATURE | MORAINE LAKE | https://www.pexels.com/download/video/20600550/
30965147 | NATURE | ALPINE LAKE | https://www.pexels.com/download/video/30965147/
31546637 | SEA | TROPICAL COAST | https://www.pexels.com/download/video/31546637/
7206186 | NATURE | FOREST WATERFALL | https://www.pexels.com/download/video/7206186/
4803828 | NATURE | MOUNTAIN LAKE | https://www.pexels.com/download/video/4803828/
14920039 | SEA | EMPTY TROPICAL BEACH | https://www.pexels.com/download/video/14920039/
32509235 | NATURE | MOUNTAIN REFLECTION | https://www.pexels.com/download/video/32509235/
34329125 | SEA | TURQUOISE BEACH | https://www.pexels.com/download/video/34329125/
17488328 | SEA | TROPICAL ISLAND | https://www.pexels.com/download/video/17488328/
11964899 | SEA | OCEAN BEACH | https://www.pexels.com/download/video/11964899/
30089500 | SEA | COASTAL CLIFFS | https://www.pexels.com/download/video/30089500/
34971572 | SEA | OCEAN SUNRISE | https://www.pexels.com/download/video/34971572/
35466365 | SEA | BEACH SUNRISE | https://www.pexels.com/download/video/35466365/
7555070 | SEA | ISLAND DRONE | https://www.pexels.com/download/video/7555070/
20605896 | EVENING | GOLDEN LAKE | https://www.pexels.com/download/video/20605896/
37405901 | EVENING | SUNSET LAKE | https://www.pexels.com/download/video/37405901/
9717009 | EVENING | BEACH GOLDEN HOUR | https://www.pexels.com/download/video/9717009/
34359054 | EVENING | OCEAN SUNSET | https://www.pexels.com/download/video/34359054/
13140746 | EVENING | CITY RIVER SUNSET | https://www.pexels.com/download/video/13140746/
13141718 | EVENING | BRIDGE SUNSET | https://www.pexels.com/download/video/13141718/
13304161 | EVENING | RED SKY SUNSET | https://www.pexels.com/download/video/13304161/
